PLAYER_ID,PLAYER,START_SEASON,MAX_LEAGUE,PICK_NUMBER
x1,,1990,NBA,
x2,,1985,NBA,
x3,,1985,NBA,
x4,,1981,NBA,
x5,,1981,NBA,
x6,,1986,NBA,
x7,,1987,NBA,
x8,,1987,NBA,
x9,,1989,NBA,
x10,,1984,NBA,
x11,,1988,NBA,
x12,,1989,NBA,
x13,,1989,NBA,
x14,,1987,NBA,
x15,,1990,NBA,
x16,,1990,NBA,
x17,,1983,NBA,
x18,,1990,NBA,
x19,,1984,NBA,
x20,,1984,NBA,
x21,,1989,NBA,
x22,,1985,NBA,
x23,,1989,NBA,
x24,,1986,NBA,
x25,,1985,NBA,
x26,,1988,NBA,
x27,,1978,NBA,
x28,,1981,NBA,
x29,,1990,NBA,
x30,,1989,NBA,
x31,,1987,NBA,
x32,,1983,NBA,
x33,,1985,NBA,
x34,,1990,NBA,
x35,,1984,NBA,
x36,,1983,NBA,
x37,,1981,NBA,
x38,,1988,NBA,
x39,,1982,NBA,
x40,,1989,NBA,
x41,,1990,NBA,
x42,,1985,NBA,
x43,,1988,NBA,
x44,,1990,NBA,
x45,,1990,NBA,
x46,,1990,NBA,
x47,,1988,NBA,
x48,,1984,NBA,
x49,,1989,NBA,
x50,,1990,NBA,