PLAYER_ID,PICK_NUMBER,START_SEASON
x1,Undrafted,2013
x2,39,2013
x3,Undrafted,2013
x4,Undrafted,2018
x5,Undrafted,2013
x6,Undrafted,2013
x7,Undrafted,2013
x8,Undrafted,2013
x9,Undrafted,2013
x10,Undrafted,2013
x11,53,2013
x12,Undrafted,2015
x13,51,2013
x14,Undrafted,2013
x15,Undrafted,2015
x16,Undrafted,2014
x17,Undrafted,2013
x18,Undrafted,2017
x19,Undrafted,2014
x20,Undrafted,2013
x21,Undrafted,2014
x22,Undrafted,2014
x23,Undrafted,2013
x24,52,2013
x25,Undrafted,2014
x26,Undrafted,2016
x27,Undrafted,2014
x28,Undrafted,2013
x29,Undrafted,2013
x30,48,2014
x31,Undrafted,2014
x32,Undrafted,2013
x33,Undrafted,2014
x34,54,2013
x35,Undrafted,2018
x36,Undrafted,2013
x37,Undrafted,2015
x38,34,2013
x39,Undrafted,2013
x40,23,2013
x41,Undrafted,2013
x42,Undrafted,2014
x43,Undrafted,2013
x44,Undrafted,2014
x45,Undrafted,2013
x46,28,2014
x47,Undrafted,2014
x48,48,2013
x49,22,2013
x50,46,2013